,0
0,0.09288439810252351
1,0.16783231812616434
2,0.009557318618961629
3,0.1560457291545161
4,0.01085544020027585
5,0.16783231812616434
6,0.16783231812616434
7,0.16783231812616434
8,0.09322525975599251
9,0.16783231812616434
10,0.16783231812616434
11,0.09450242385880736
12,0.16783231812616434
13,0.16273102809367884
14,0.16783231812616434
15,0.08973837841686433
16,0.16783231812616434
17,0.16783231812616434
18,0.16223040664054253
19,0.16783231812616434
20,0.0935080877293767
21,0.16783231812616434
22,0.16591205610226753
23,0.16783231812616434
24,0.0916544767363664
25,0.16783231812616434
26,0.16783231812616434
27,0.009876397256345936
28,0.010507040773416987
29,0.16783231812616434
30,0.09384199632539307
31,0.16587741473360457
32,0.16783231812616434
33,0.09577527261330376
34,0.010121315771747698
35,0.16783231812616434
36,0.1688329939747333
37,0.16783231812616434
38,0.16783231812616434
39,0.011234808222325128
40,0.22308691601352873
41,0.16783231812616434
42,0.010245807047702586
43,0.16783231812616434
44,0.010718276469307696
45,0.010495510152020448
46,0.16783231812616434
47,0.010121315771747698
48,0.16783231812616434
49,0.16783231812616434
50,0.09384199632539307
51,0.16783231812616434
52,0.09577527261330376
53,0.16783231812616434
54,0.16783231812616434
55,0.16783231812616434
56,0.015514924683726065
57,0.16783231812616434
58,0.0935080877293767
59,0.0935080877293767
60,0.011045762666597002
61,0.16783231812616434
62,0.16783231812616434
63,0.011221984048207264
64,0.16783231812616434
65,0.16783231812616434
66,0.16783231812616434
67,0.16783231812616434
68,0.16783231812616434
69,0.16783231812616434
70,0.1696690921977899
71,0.16783231812616434
72,0.011187402103612068
73,0.16783231812616434
74,0.16918235576530188
75,0.09384199632539307
76,0.014394736815244337
77,0.16783231812616434
78,0.011140089259103637
79,0.01041703400698105
80,0.16783231812616434
81,0.16783231812616434
82,0.16783231812616434
83,0.010245807047702586
84,0.01085544020027585
85,0.16981184819089162
86,0.015477724516262973
87,0.09357830242078596
88,0.09302856415060687
89,0.010584623269345988
90,0.16783231812616434
91,0.09378990519227963
92,0.010386314565971482
93,0.16783231812616434
94,0.16783231812616434
95,0.16783231812616434
96,0.009290778953595877
97,0.09324794063697989
98,0.16783231812616434
